application_id,score,pd,qaror,sabab,sabab_texnik,asosiy_omil,tavsiya_summa,limit,dti,pti,income_cv,scorecard_version
AP002171,578.0,0.211461,RAD_ETILDI,"Afsuski, hozircha kredit bera olmaymiz. Sabab: hozirgi daromadingiz mavjud to'lovlardan keyin yangi kreditni ko'tara olmaydi. To'sqinlik qildi: yangi kreditgacha ham mavjud to'lovlaringiz daromadning 107% ini oladi; barcha to'lovlardan keyin qo'lingizda pul umuman qolmaydi; mavjud qarz qoldig'i yillik daromadingizdan 0.7 barobar. Foydangizga ishladi: bank hisobingizdagi tushum deklaratsiya bilan mos; ish stajingiz uzoq — 11 yil 2 oy; bankimiz bilan tarixingiz uzoq — 9 yil 11 oy. Nima qilish mumkin: Mavjud kreditlaringizdan birini yopsangiz, qarz yuki pasayadi va limit sezilarli oshadi.","Rad etildi: So'ralgan summada DTI 178.5% — shift 50.0%; to'lov qobiliyati qolmagan; Yangi to'lov daromadning 71.6% ini oladi — shift 35.0%. Ballga eng ko'p salbiy ta'sir: Mavjud qarz yuki (yangi kreditsiz) (-19 ball), To'lovlardan keyingi erkin pul (-15 ball). Yakuniy ball 578.",Mavjud qarz yuki (yangi kreditsiz) (-19 ball),0,0,1.7849,0.7159,0.1364,v1
AP002172,666.0,0.012547,MAQULLANDI,Tabriklaymiz — kredit ma'qullandi. 18 325 581 so'm miqdorida kredit tasdiqlandi. Oylik to'lov taxminan 1 005 864 so'm bo'ladi. To'sqinlik qildi: sezilarli salbiy omil topilmadi. Foydangizga ishladi: bank hisobingizdagi tushum deklaratsiya bilan mos; oylik daromadingiz 6 685 724 so'm — yetarli daraja; bandlik turingiz (xususiy) barqaror daromad beradi. Nima qilish mumkin: Qo'shimcha shart yo'q — hujjatlarni tasdiqlash uchun bank xodimi siz bilan bog'lanadi.,"Ma'qullandi: ball 666 (PD 1.3%), DTI 18.1% shift ichida. Asosiy ijobiy omillar: Bank oqimi / deklaratsiya (+14 ball), Oylik daromad medianasi (+12 ball), Bandlik turi (+9 ball). Tasdiqlangan summa 18 325 581 so'm.",salbiy omil yo'q,18325581,42600000,0.1808,0.1504,0.0285,v1
AP002173,620.9,0.057127,QOLDA_KORIB_CHIQISH,"Arizangiz bank xodimiga ko'rib chiqishga yuborildi. So'ragan 46 060 372 so'm ni to'liq bera olmaymiz, lekin 28 700 000 so'm sizning to'lov qobiliyatingizga to'g'ri keladi — bunda oylik to'lov 1 187 135 so'm bo'ladi. Yakuniy qarorni bank xodimi tasdiqlaydi. To'sqinlik qildi: bankimiz bilan tarixingiz qisqa — 2 yil 2 oy, sizni hali yaxshi bilmaymiz; xarajatlaringiz daromadning 71% ini yeb qo'yadi; bank hisobingizdagi tushum deklaratsiya bilan mos. Foydangizga ishladi: bandlik turingiz (xususiy) barqaror daromad beradi; yangi kreditsiz ham qarz yukingiz past — daromadning 22% i; barcha to'lovlardan keyin oyiga 1 385 613 so'm qoladi. Nima qilish mumkin: To'lov qobiliyatingiz 28 700 000 so'm ga yetadi. Shu summani so'rasangiz, ariza qo'lda ko'rib chiqishga tushadi. Muddatni uzaytiring (hozir 3 yil) — oylik to'lov kamayadi va qarz yuki chegara ichiga tushadi.","Qo'lda ko'rib chiqish: So'ralgan summada DTI 67.1% — shift 50.0%; taklif: 28 700 000 so'm; Yangi to'lov daromadning 45.3% ini oladi — shift 35.0%. Diqqat talab qiladigan omillar: Bank bilan tarix (oy) (-4), Sarf intensivligi (chiqim/kirim) (-4). Ball 621, tavsiya etilgan limit 28 700 000 so'm.",Bank bilan tarix (oy) (-4 ball),28700000,0,0.6705,0.4531,0.0259,v1
AP002174,549.3,0.419824,RAD_ETILDI,"Afsuski, hozircha kredit bera olmaymiz. Sabab: kredit tarixingizda 95 kunlik kechikish bor. To'sqinlik qildi: yangi kreditgacha ham mavjud to'lovlaringiz daromadning 277% ini oladi; o'tmishda 95 kunlik kechikish qayd etilgan; barcha to'lovlardan keyin qo'lingizda pul umuman qolmaydi. Foydangizga ishladi: ish stajingiz uzoq — 11 yil 11 oy; bank hisobingizdagi tushum deklaratsiya bilan mos; xarajatlaringiz daromadning 66% i — tejamkor. Nima qilish mumkin: Mavjud kreditlaringizdan birini yopsangiz, qarz yuki pasayadi va limit sezilarli oshadi. Kechikish yopilgandan keyin 12 oy toza to'lov tarixi to'plang, so'ng qayta murojaat qiling.","Rad etildi: O'tmishda 95 kunlik kechikish (90+ kun — qattiq to'siq); So'ralgan summada DTI 427.2% — shift 50.0%; to'lov qobiliyati qolmagan. Ballga eng ko'p salbiy ta'sir: Mavjud qarz yuki (yangi kreditsiz) (-19 ball), O'tmishdagi maks. kechikish (kun) (-16 ball). Yakuniy ball 549.",Mavjud qarz yuki (yangi kreditsiz) (-19 ball),0,0,4.272,1.5059,0.2237,v1
AP002175,621.5,0.056003,QOLDA_KORIB_CHIQISH,Arizangiz bank xodimiga ko'rib chiqishga yuborildi. Ko'rsatkichlaringiz chegaraviy zonada — avtomatik qaror o'rniga bank xodimi arizangizni qo'lda ko'rib chiqadi. To'sqinlik qildi: daromadning 19% i naqd yechib olinadi — bank uchun bu ko'rinmas pul; oxirgi oylarda daromadingiz kamaygan; bank hisobingizdagi tushum deklaratsiya bilan mos. Foydangizga ishladi: bandlik turingiz (byudjet) barqaror daromad beradi; barcha to'lovlardan keyin oyiga 3 544 819 so'm qoladi; yangi kreditsiz ham qarz yukingiz past — daromadning 0% i. Nima qilish mumkin: Qo'shimcha shart yo'q — hujjatlarni tasdiqlash uchun bank xodimi siz bilan bog'lanadi.,"Qo'lda ko'rib chiqish: Ball 622 — avtomatik ma'qullash chegarasi 630 dan past. Diqqat talab qiladigan omillar: Naqd yechish ulushi (-4), Daromad trendi (2-yarim/1-yarim) (-2). Ball 622, tavsiya etilgan limit 8 311 593 so'm.",Naqd yechish ulushi (-4 ball),8311593,0,0.114,0.114,0.0328,v1
AP002176,634.0,0.03702,MAQULLANDI,"Tabriklaymiz — kredit ma'qullandi. 5 440 884 so'm miqdorida kredit tasdiqlandi. Oylik to'lov taxminan 525 078 so'm bo'ladi. To'sqinlik qildi: oxirgi oylarda daromadingiz kamaygan; oylik daromadingiz 2 902 152 so'm — so'ralgan summa uchun kam; bank hisobingizdagi tushum deklaratsiya bilan mos. Foydangizga ishladi: bandlik turingiz (xususiy) barqaror daromad beradi; yangi kreditsiz ham qarz yukingiz past — daromadning 27% i; barcha to'lovlardan keyin oyiga 1 596 783 so'm qoladi. Nima qilish mumkin: Mavjud kreditlaringizdan birini yopsangiz, qarz yuki pasayadi va limit sezilarli oshadi.","Ma'qullandi: ball 634 (PD 3.7%), DTI 45.0% shift ichida. Asosiy ijobiy omillar: Bandlik turi (+9 ball), Mavjud qarz yuki (yangi kreditsiz) (+8 ball), To'lovlardan keyingi erkin pul (+7 ball). Tasdiqlangan summa 5 440 884 so'm.",Daromad trendi (2-yarim/1-yarim) (-7 ball),5440884,6900000,0.4498,0.1809,0.2215,v1
AP002177,618.1,0.062509,QOLDA_KORIB_CHIQISH,"Arizangiz bank xodimiga ko'rib chiqishga yuborildi. So'ragan 23 393 887 so'm ni to'liq bera olmaymiz, lekin 18 000 000 so'm sizning to'lov qobiliyatingizga to'g'ri keladi — bunda oylik to'lov 744 545 so'm bo'ladi. Yakuniy qarorni bank xodimi tasdiqlaydi. To'sqinlik qildi: oylik daromadingiz 2 136 271 so'm — so'ralgan summa uchun kam; bankimiz bilan tarixingiz qisqa — 3 yil 2 oy, sizni hali yaxshi bilmaymiz; bank hisobingizdagi tushum deklaratsiya bilan mos. Foydangizga ishladi: ish stajingiz uzoq — 10 yil; barcha to'lovlardan keyin oyiga 1 168 616 so'm qoladi; xarajatlaringiz daromadning 73% i — tejamkor. Nima qilish mumkin: To'lov qobiliyatingiz 18 000 000 so'm ga yetadi. Shu summani so'rasangiz, ariza qo'lda ko'rib chiqishga tushadi. Muddatni uzaytiring (hozir 3 yil) — oylik to'lov kamayadi va qarz yuki chegara ichiga tushadi.","Qo'lda ko'rib chiqish: Yangi to'lov daromadning 45.3% ini oladi — shift 35.0%; Ball 618 — avtomatik ma'qullash chegarasi 630 dan past. Diqqat talab qiladigan omillar: Oylik daromad medianasi (-11), Bank bilan tarix (oy) (-4). Ball 618, tavsiya etilgan limit 18 000 000 so'm.",Oylik daromad medianasi (-11 ball),18000000,0,0.453,0.453,0.0315,v1
AP002178,632.5,0.038937,MAQULLANDI,Tabriklaymiz — kredit ma'qullandi. 8 979 163 so'm miqdorida kredit tasdiqlandi. Oylik to'lov taxminan 866 543 so'm bo'ladi. To'sqinlik qildi: bank hisobingizdagi tushum deklaratsiya bilan mos. Foydangizga ishladi: oylik daromadingiz 7 164 376 so'm — yetarli daraja; barcha to'lovlardan keyin oyiga 6 297 832 so'm qoladi; xarajatlaringiz daromadning 73% i — tejamkor. Nima qilish mumkin: Qo'shimcha shart yo'q — hujjatlarni tasdiqlash uchun bank xodimi siz bilan bog'lanadi.,"Ma'qullandi: ball 633 (PD 3.9%), DTI 12.1% shift ichida. Asosiy ijobiy omillar: Oylik daromad medianasi (+12 ball), To'lovlardan keyingi erkin pul (+9 ball), Sarf intensivligi (chiqim/kirim) (+5 ball). Tasdiqlangan summa 8 979 163 so'm.",Bank oqimi / deklaratsiya (-11 ball),8979163,17600000,0.121,0.121,0.2278,v1
AP002179,565.0,0.296155,RAD_ETILDI,"Afsuski, hozircha kredit bera olmaymiz. Sabab: hozirgi daromadingiz mavjud to'lovlardan keyin yangi kreditni ko'tara olmaydi. To'sqinlik qildi: yangi kreditgacha ham mavjud to'lovlaringiz daromadning 176% ini oladi; barcha to'lovlardan keyin qo'lingizda pul umuman qolmaydi; mavjud qarz qoldig'i yillik daromadingizdan 0.3 barobar. Foydangizga ishladi: bandlik turingiz (xususiy) barqaror daromad beradi; oxirgi oylarda daromadingiz o'sgan; ish stajingiz uzoq — 8 yil 5 oy. Nima qilish mumkin: Mavjud kreditlaringizdan birini yopsangiz, qarz yuki pasayadi va limit sezilarli oshadi.","Rad etildi: So'ralgan summada DTI 205.4% — shift 50.0%; to'lov qobiliyati qolmagan; Defolt ehtimoli 29.6% — shift 20.0%. Ballga eng ko'p salbiy ta'sir: Mavjud qarz yuki (yangi kreditsiz) (-19 ball), To'lovlardan keyingi erkin pul (-15 ball). Yakuniy ball 565.",Mavjud qarz yuki (yangi kreditsiz) (-19 ball),0,0,2.0539,0.2977,0.0391,v1
AP002180,608.1,0.086177,QOLDA_KORIB_CHIQISH,"Arizangiz bank xodimiga ko'rib chiqishga yuborildi. Ko'rsatkichlaringiz chegaraviy zonada — avtomatik qaror o'rniga bank xodimi arizangizni qo'lda ko'rib chiqadi. To'sqinlik qildi: bank hisobingizdagi tushum deklaratsiya bilan mos; xarajatlaringiz daromadning 70% ini yeb qo'yadi; oxirgi oylarda daromadingiz kamaygan. Foydangizga ishladi: barcha to'lovlardan keyin oyiga 4 157 622 so'm qoladi; yangi kreditsiz ham qarz yukingiz past — daromadning 0% i; pul harakatingiz shaffof, naqd yechish kam. Nima qilish mumkin: Qo'shimcha shart yo'q — hujjatlarni tasdiqlash uchun bank xodimi siz bilan bog'lanadi.","Qo'lda ko'rib chiqish: Ball 608 — avtomatik ma'qullash chegarasi 630 dan past. Diqqat talab qiladigan omillar: Bank oqimi / deklaratsiya (-11), Sarf intensivligi (chiqim/kirim) (-4). Ball 608, tavsiya etilgan limit 14 551 424 so'm.",Bank oqimi / deklaratsiya (-11 ball),14551424,0,0.0983,0.0983,0.2462,v1
AP002181,638.0,0.032394,QOLDA_KORIB_CHIQISH,"Arizangiz bank xodimiga ko'rib chiqishga yuborildi. So'ragan 24 775 231 so'm ni to'liq bera olmaymiz, lekin 18 300 000 so'm sizning to'lov qobiliyatingizga to'g'ri keladi — bunda oylik to'lov 1 004 460 so'm bo'ladi. Yakuniy qarorni bank xodimi tasdiqlaydi. To'sqinlik qildi: oylik daromadingiz 2 870 154 so'm — so'ralgan summa uchun kam. Foydangizga ishladi: bank hisobingizdagi tushum deklaratsiya bilan mos; xarajatlaringiz daromadning 67% i — tejamkor; barcha to'lovlardan keyin oyiga 1 510 278 so'm qoladi. Nima qilish mumkin: So'rovni 18 300 000 so'm gacha kamaytiring — bu summada ma'qullanish ehtimoli sezilarli oshadi. Muddatni uzaytiring (hozir 2 yil) — oylik to'lov kamayadi va qarz yuki chegara ichiga tushadi.","Qo'lda ko'rib chiqish: Yangi to'lov daromadning 47.4% ini oladi — shift 35.0%. Diqqat talab qiladigan omillar: Oylik daromad medianasi (-3), So'ralgan summa / yillik daromad (-1). Ball 638, tavsiya etilgan limit 18 300 000 so'm.",Oylik daromad medianasi (-3 ball),18300000,18300000,0.4738,0.4738,0.0403,v1
AP002182,641.0,0.02935,QOLDA_KORIB_CHIQISH,Arizangiz bank xodimiga ko'rib chiqishga yuborildi. Ko'rsatkichlaringiz chegaraviy zonada — avtomatik qaror o'rniga bank xodimi arizangizni qo'lda ko'rib chiqadi. To'sqinlik qildi: oxirgi oylarda daromadingiz kamaygan. Foydangizga ishladi: bandlik turingiz (qurilish) barqaror daromad beradi; bank hisobingizdagi tushum deklaratsiya bilan mos; ish stajingiz uzoq — 7 yil 8 oy. Nima qilish mumkin: Daromadingizni muntazam bank hisobiga o'tkazing — barqaror oqim ballni oshiradi.,"Qo'lda ko'rib chiqish: Daromad juda o'zgaruvchan (CV 0.36) — barqarorlik past. Diqqat talab qiladigan omillar: Daromad trendi (2-yarim/1-yarim) (-7), Naqd yechish ulushi (-1). Ball 641, tavsiya etilgan limit 5 161 021 so'm.",Daromad trendi (2-yarim/1-yarim) (-7 ball),5161021,14800000,0.1214,0.1214,0.3575,v1
AP002183,552.4,0.394,RAD_ETILDI,"Afsuski, hozircha kredit bera olmaymiz. Sabab: kredit tarixingizda 95 kunlik kechikish bor. To'sqinlik qildi: yangi kreditgacha ham mavjud to'lovlaringiz daromadning 412% ini oladi; o'tmishda 95 kunlik kechikish qayd etilgan; barcha to'lovlardan keyin qo'lingizda pul umuman qolmaydi. Foydangizga ishladi: xarajatlaringiz daromadning 66% i — tejamkor; oxirgi oylarda daromadingiz o'sgan; mavjud qarz qoldig'i yillik daromadingizga nisbatan kichik. Nima qilish mumkin: Kechikish yopilgandan keyin 12 oy toza to'lov tarixi to'plang, so'ng qayta murojaat qiling.","Rad etildi: O'tmishda 95 kunlik kechikish (90+ kun — qattiq to'siq); So'ralgan summada DTI 500.0% — shift 50.0%; to'lov qobiliyati qolmagan. Ballga eng ko'p salbiy ta'sir: Mavjud qarz yuki (yangi kreditsiz) (-19 ball), O'tmishdagi maks. kechikish (kun) (-16 ball). Yakuniy ball 552.",Mavjud qarz yuki (yangi kreditsiz) (-19 ball),0,0,5.0,1.4451,0.0283,v1
